date,y_true,fcast_enet,hmean,nr_enet,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf
1965-11-01,-0.006921,0.009507565711626469,0.011424300469483568,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1965-12-01,0.006849,0.008199172982476813,0.01133857476635514,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1966-01-01,0.002405,0.007622421913486768,0.011317693023255812,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1966-02-01,-0.01655,0.007097816794292387,0.011276430555555553,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1966-03-01,-0.026541,0.006442148985619496,0.011148198156682027,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1966-04-01,0.018358,0.0038284376806821206,0.010975311926605504,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1966-05-01,-0.05254,0.004248253909276372,0.011009022831050227,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1966-06-01,-0.01848,0.0019638329019359135,0.010720163636363635,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1966-07-01,-0.015929,0.0021900104145317206,0.010588036199095022,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1966-08-01,-0.07515,-0.00025624967583523614,0.01046859009009009,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1966-09-01,-0.010344,-0.004726124654543274,0.010084650224215248,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1966-10-01,0.044333,-0.004504354087597181,0.009993450892857145,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1966-11-01,0.006723,-0.002075607869181691,0.010146071111111113,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1966-12-01,-0.003674,-0.004835324134082115,0.010130924778761064,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1967-01-01,0.075215,0.001984706878700293,0.010070110132158592,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1967-02-01,0.003214,0.003554734175584055,0.010355833333333335,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1967-03-01,0.037537,-0.0015415174695772773,0.010324646288209607,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1967-04-01,0.039471,0.007099814009007828,0.010442960869565218,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1967-05-01,-0.05001,0.0021460606551472793,0.010568623376623376,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1967-06-01,0.016019,0.005191970643842715,0.010307508620689654,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1967-07-01,0.043754,-0.002955276204832072,0.010332021459227467,5.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
1967-08-01,-0.009924,0.011522710929049187,0.010474850427350427,8.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1967-09-01,0.030715,0.004462521824220166,0.010388046808510638,8.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1967-10-01,-0.030648,0.007472713273093784,0.010474177966101693,8.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1967-11-01,0.002535,-0.006462209889304777,0.010300666666666666,8.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1967-12-01,0.023479,0.0036942561907215878,0.01026803781512605,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1968-01-01,-0.045175,0.0067973039254858435,0.010323313807531381,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1968-02-01,-0.0309,0.005689862900457637,0.010092070833333333,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1968-03-01,0.005796,-0.0029138682290070347,0.009921979253112034,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1968-04-01,0.080292,-0.006108870706631738,0.009904929752066116,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1968-05-01,0.012074,0.004958660164110205,0.010194588477366255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1968-06-01,0.005416,0.004688603527571894,0.010202290983606558,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1968-07-01,-0.021744,0.006315073985126625,0.010182755102040817,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1968-08-01,0.011615,0.005188468375601572,0.010052971544715447,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1968-09-01,0.035151,0.004698684996688988,0.010059295546558706,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1968-10-01,0.004287,0.006069400498656742,0.010160471774193549,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1968-11-01,0.04918,0.005627082354907286,0.010136883534136547,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1968-12-01,-0.045026,0.00846565849326238,0.010293056,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1969-01-01,-0.011847,0.0037755494472283316,0.010072661354581673,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1969-02-01,-0.047621,0.00294305928899417,0.009985678571428572,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1969-03-01,0.030247,-0.01625741819427181,0.009757984189723321,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1969-04-01,0.018171,-0.00033272292135805076,0.009838649606299214,7.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1969-05-01,-0.001446,0.0031583133510561046,0.00987132549019608,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1969-06-01,-0.059157,-0.012189525293674966,0.009827117187500001,7.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1969-07-01,-0.063732,-0.009613174049971128,0.009558696498054476,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1969-08-01,0.040428,-0.025514782173636542,0.009274624031007754,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1969-09-01,-0.028941,-0.019102481762641496,0.009394907335907338,10.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1969-10-01,0.0407,-0.03590581674237583,0.00924746153846154,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1969-11-01,-0.035152,0.0012133949366797269,0.009367969348659006,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1969-12-01,-0.022122,-0.0015921963535851277,0.00919804580152672,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1970-01-01,-0.081798,-0.004836231218889461,0.009078958174904945,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1970-02-01,0.053521,-0.01729620566798514,0.008734727272727274,8.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1970-03-01,-0.003394,-0.0027163031649493695,0.0089037320754717,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1970-04-01,-0.094531,-0.0009946177789174567,0.0088575,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1970-05-01,-0.059689,-0.011917143323583245,0.008470277153558053,7.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
1970-06-01,-0.054332,-0.02243774187509606,0.008215951492537314,7.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1970-07-01,0.069723,-0.000914180238142989,0.0079834312267658,7.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1970-08-01,0.044578,-0.010447526962356776,0.008212096296296299,8.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1970-09-01,0.029402,-0.00682169050586753,0.00834628782287823,8.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1970-10-01,-0.014432,0.006666127954805572,0.008423698529411766,9.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1970-11-01,0.049787,-0.0037276135731936213,0.008339978021978025,8.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1970-12-01,0.054084,0.02589880879762753,0.008491244525547446,10.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1971-01-01,0.038628,0.0016593140556564107,0.008657036363636364,10.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1971-02-01,0.009517,0.02607377800716194,0.008765626811594204,9.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1971-03-01,0.035768,0.016866636300902606,0.008768339350180508,10.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1971-04-01,0.033965,0.03288802250318006,0.008865460431654678,10.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1971-05-01,-0.03995,0.007215122661791835,0.008955422939068102,10.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1971-06-01,-0.000461,0.009907969072259026,0.008780760714285714,9.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1971-07-01,-0.044527,-0.0012499918769436227,0.008747871886120997,9.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1971-08-01,0.038036,0.005492084654420211,0.00855895390070922,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1971-09-01,-0.009738,0.015468685544561784,0.008663113074204948,8.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1971-10-01,-0.043829,0.015799082802291788,0.008598320422535211,8.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1971-11-01,-0.000802,0.006401990338159586,0.008414364912280701,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1971-12-01,0.08418,0.004791414860638121,0.008382139860139859,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1972-01-01,0.015388,0.006830248021600885,0.008646243902439022,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1972-02-01,0.027321,0.007216747203117558,0.008669652777777778,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1972-03-01,0.004815,0.00899316802004536,0.008734190311418685,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1972-04-01,0.002776,0.006306014885547874,0.008720675862068967,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
