date,y_true,fcast_lassorel,hmean,nr_lasso_rel,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf,Pyun_FC
2004-06-01,0.018888,0.01286545601043576,0.006512209302325582,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2004-07-01,-0.033754,-0.004232202657474909,0.006583745664739885,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2004-08-01,0.002807,0.013241789306585657,0.006351919540229885,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2004-09-01,0.009717,0.01543945559250728,0.006331662857142858,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2004-10-01,0.013873,0.008995567174230544,0.006350897727272728,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2004-11-01,0.039459,0.0036444270683924653,0.006393395480225989,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2004-12-01,0.032234,0.005146662251515414,0.006579157303370786,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-01-01,-0.025424,0.010473844555844658,0.006722480446927375,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-02-01,0.019552,0.014925940681025682,0.00654388888888889,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-03-01,-0.01884,0.012815602143703038,0.006615756906077349,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-04-01,-0.021026,0.01627115926211864,0.006475890109890111,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-05-01,0.029894,0.013596492418394831,0.00632560655737705,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
