date,y_true,fcast_ew,hmean,nr_ew,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf,Pyun_FC
2006-08-01,0.02015,0.006472454362653531,0.006243459595959595,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-09-01,0.022287,0.006485852528875963,0.006313341708542712,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-10-01,0.028427,0.006444619247262426,0.006393209999999998,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-11-01,0.014285,0.006484721247059503,0.006502830845771143,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-12-01,0.009568,0.0063616299109452695,0.006541356435643563,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2007-01-01,0.011313,0.006551635700131312,0.006556266009852215,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2007-02-01,-0.023688,0.006655728521292767,0.006579583333333331,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2007-03-01,0.007094,0.0067215721671924095,0.006431936585365852,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2007-04-01,0.039691,0.006749531808337228,0.006435150485436892,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2007-05-01,0.030059,0.006833253090645928,0.006595806763285022,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2007-06-01,-0.02072,0.007415713895643532,0.006708610576923075,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2007-07-01,-0.035197,0.007355469380644657,0.006577373205741624,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2007-08-01,0.011094,0.007152568356929732,0.006378447619047619,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2007-09-01,0.033268,0.006513617930721456,0.006400796208530806,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2007-10-01,0.01416,0.00634889835290044,0.006527528301886793,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
