date,y_true,fcast_ew,hmean,nr_ew,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf
2003-11-01,0.008559,0.005648046816973669,0.0065106726457399115,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-12-01,0.05108,0.006102710888697762,0.0065137298507462705,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-01-01,0.018278,0.006492832184760489,0.0065801475409836075,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-02-01,0.013703,0.006466661012102453,0.00659755505952381,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-03-01,-0.015582,0.006196627444712825,0.006608112927191679,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-04-01,-0.016484,0.005953582438872722,0.006575189910979228,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-05-01,0.012829,0.005050313223533683,0.006541028148148147,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-06-01,0.018888,0.0057817664027434565,0.0065503298816568046,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-07-01,-0.033754,0.005916029422175873,0.006568553914327916,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-08-01,0.002807,0.0060215119691518415,0.006509081120943952,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-09-01,0.009717,0.006518147884282364,0.00650362886597938,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-10-01,0.013873,0.006204204336848454,0.006508354411764705,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-11-01,0.039459,0.006170425813887243,0.006519168869309837,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-12-01,0.032234,0.005543334284749828,0.006567467741935483,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-01-01,-0.025424,0.006324331390470551,0.006605046852122986,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-02-01,0.019552,0.006457382381480058,0.006558220760233917,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-03-01,-0.01884,0.005785388536560043,0.006577189781021896,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-04-01,-0.021026,0.005620638078268403,0.006540138483965013,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-05-01,0.029894,0.005990018082073918,0.00650001310043668,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-06-01,-0.000683,0.006227053416700816,0.006534015988372091,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-07-01,0.035064,0.006423415590521091,0.0065235413642960784,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-08-01,-0.011559,0.0059029557762242365,0.006564904347826089,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-09-01,0.005067,0.006251984500290168,0.006538675832127353,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-10-01,-0.018572,0.005516705721717311,0.006536549132947979,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-11-01,0.035589,0.005186456989933807,0.006500317460317462,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-12-01,-0.00316,0.006145678677455032,0.006542231988472625,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-01-01,0.023242,0.0068066104069778146,0.006528271942446045,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-02-01,-0.001075,0.006233526670303782,0.006552285919540231,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-03-01,0.009509,0.005981989310098135,0.0065413428981348646,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-04-01,0.008364,0.005431313516072892,0.006545594555873928,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-05-01,-0.031919,0.0055894366458137295,0.006548195994277541,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-06-01,-0.002713,0.005557473432323691,0.006493242857142859,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-07-01,0.001571,0.00578817154167757,0.006480109843081314,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-08-01,0.02015,0.006131065795107553,0.006473116809116811,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-09-01,0.022287,0.006392430039394787,0.00649257183499289,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-10-01,0.028427,0.006341479807701594,0.00651500710227273,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
