date,y_true,fcast_comby,hmean,nr_comby,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf
2006-03-01,0.009509,0.005100134601176996,0.0065413428981348646,1,0,1,0,0,0,0,0,0,0,0,0,0
2006-04-01,0.008364,0.005107646990621094,0.006545594555873928,1,0,1,0,0,0,0,0,0,0,0,0,0
2006-05-01,-0.031919,0.005113186143552925,0.006548195994277541,1,0,1,0,0,0,0,0,0,0,0,0,0
2006-06-01,-0.002713,0.005369409284354134,0.006493242857142859,1,0,1,0,0,0,0,0,0,0,0,0,0
2006-07-01,0.001571,0.005356561786136597,0.006480109843081314,1,0,1,0,0,0,0,0,0,0,0,0,0
2006-08-01,0.02015,0.005510383402504664,0.006473116809116811,1,0,1,0,0,0,0,0,0,0,0,0,0
2006-09-01,0.022287,0.005453183193754543,0.00649257183499289,1,0,1,0,0,0,0,0,0,0,0,0,0
2006-10-01,0.028427,0.005479441822309518,0.00651500710227273,1,0,1,0,0,0,0,0,0,0,0,0,0
2006-11-01,0.014285,0.0053564937817692174,0.006546087943262414,1,0,1,0,0,0,0,0,0,0,0,0,0
2006-12-01,0.009568,0.0052915542620114,0.006557049575070823,1,0,1,0,0,0,0,0,0,0,0,0,0
2007-01-01,0.011313,0.005298498346490507,0.006561308345120228,1,0,1,0,0,0,0,0,0,0,0,0,0
2007-02-01,-0.023688,0.005308248850019915,0.006568019774011301,1,0,1,0,0,0,0,0,0,0,0,0,0
2007-03-01,0.007094,0.005420273595905026,0.00652534555712271,1,0,1,0,0,0,0,0,0,0,0,0,0
2007-04-01,0.039691,0.005422896381060033,0.0065261464788732414,1,0,1,0,0,0,0,0,0,0,0,0,0
2007-05-01,0.030059,0.005239306747317764,0.0065727918424753895,1,0,1,0,0,0,0,0,0,0,0,0,0
2007-06-01,-0.02072,0.005043780705273868,0.006605778089887643,1,0,1,0,0,0,0,0,0,0,0,0,0
2007-07-01,-0.035197,0.005236764875028273,0.006567453015427773,1,0,1,0,0,0,0,0,0,0,0,0,0
2007-08-01,0.011094,0.005170767430559568,0.006508959383753504,1,0,1,0,0,0,0,0,0,0,0,0,0
2007-09-01,0.033268,0.004941558214415991,0.00651537202797203,1,0,1,0,0,0,0,0,0,0,0,0,0
2007-10-01,0.01416,0.004436056643215908,0.006552736033519554,1,0,1,0,0,0,0,0,0,0,0,0,0
2007-11-01,-0.044582,0.003902672956784131,0.006563345885634591,1,0,1,0,0,0,0,0,0,0,0,0,0
2007-12-01,-0.009516,0.0037098212786224423,0.0064921128133704755,1,0,1,0,0,0,0,0,0,0,0,0,0
2008-01-01,-0.063866,0.003275142111904605,0.0064698484005563306,1,0,1,0,0,0,0,0,0,0,0,0,0
2008-02-01,-0.033519,0.0033444499703432417,0.006372159722222224,1,0,1,0,0,0,0,0,0,0,0,0,0
2008-03-01,-0.0047,0.0033371114626770822,0.006316832177531209,1,0,1,0,0,0,0,0,0,0,0,0,0
2008-04-01,0.046929,0.003065231259971678,0.006301573407202218,1,0,1,0,0,0,0,0,0,0,0,0,0
2008-05-01,0.011186,0.002433507746617437,0.006357766251728909,1,0,1,0,0,0,0,0,0,0,0,0,0
2008-06-01,-0.084642,0.0018843687026097134,0.006364435082872931,1,0,1,0,0,0,0,0,0,0,0,0,0
2008-07-01,-0.009006,0.0018169579140733087,0.006238908965517245,1,0,1,0,0,0,0,0,0,0,0,0,0
2008-08-01,0.013455,0.001605634098343785,0.006217910468319562,1,0,1,0,0,0,0,0,0,0,0,0,0
2008-09-01,-0.086767,0.0012179179853912835,0.006227865199449797,1,0,1,0,0,0,0,0,0,0,0,0,0
2008-10-01,-0.16848,0.0014000693441330138,0.006100125000000003,1,0,1,0,0,0,0,0,0,0,0,0,0
2008-11-01,-0.074312,0.00011596957983222057,0.005860646090534983,1,0,1,0,0,0,0,0,0,0,0,0,0
2008-12-01,0.011695,-0.03749878207261221,0.005750820547945209,1,0,0,0,1,0,0,0,0,0,0,0,0
2009-01-01,-0.082615,-0.011362378268576119,0.00575895212038304,2,0,1,0,1,0,0,0,0,0,0,0,0
2009-02-01,-0.103588,-0.008581889028934421,0.0056382226775956315,2,0,1,0,1,0,0,0,0,0,0,0,0
2009-03-01,0.087534,-0.009450674281530664,0.005489210095497957,2,0,1,0,1,0,0,0,0,0,0,0,0
2009-04-01,0.09403,-0.0166415373734144,0.0056009877384196214,2,0,1,0,1,0,0,0,0,0,0,0,0
2009-05-01,0.05454,-0.006680315688100567,0.005721299319727894,2,0,1,0,1,0,0,0,0,0,0,0,0
2009-06-01,0.002476,0.0011199811765512497,0.0057876290760869595,1,0,0,0,1,0,0,0,0,0,0,0,0
